VIN,Year,Make,Model,Type,Trim,Miles,Price,Location,Dealership,Engine,Transmission,Drivetrain,Exterior Color,Interior Color,Seating Capacity,Fuel Economy City,Fuel Economy Highway,Features,Listing URL,Image URL 1,Image URL 2,Image URL 3
WA1EAAFY8S2029981,2025,Audi,Q5,SUV,Premium Plus 45 TFSI® quattro® S tronic®,9299,43463,Oakland CA,Audi Oakland,,,,Chronos Gray metallic,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA1EAAFY8S2029981,WA1EAAFY8S2029981.jpg,,
3TMAZ5CN9NM194014,2022,Toyota,Tacoma,truck,SR5 V6,29562,30995,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=3TMAZ5CN9NM194014,3TMAZ5CN9NM194014.jpg,,
1FTFW1E57NFB93643,2022,Ford,F-150,truck,XLT,52541,37375,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=1FTFW1E57NFB93643,1FTFW1E57NFB93643.jpg,,
1FA6P8CF3R5425271,2024,Ford,Mustang,sedan,GT Premium Fastback,26746,44888,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=1FA6P8CF3R5425271,1FA6P8CF3R5425271.jpg,,
3FA6P0CD9LR176320,2020,Ford,Fusion,sedan,SEL,94357,12025,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=3FA6P0CD9LR176320,3FA6P0CD9LR176320.jpg,,
1FMSK7FH4PGA24212,2023,Ford,Explorer,SUV,Limited,46428,27750,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=1FMSK7FH4PGA24212,1FMSK7FH4PGA24212.jpg,,
2FMPK4K98RBA69215,2024,Ford,Edge,SUV,Titanium,36176,29998,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=2FMPK4K98RBA69215,2FMPK4K98RBA69215.jpg,,
3FMCR9B62RRE84481,2024,Ford,Bronco Sport,SUV,Big Bend,41406,22775,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=3FMCR9B62RRE84481,3FMCR9B62RRE84481.jpg,,
1N4BL4CV1NN401975,2022,Nissan,Altima,sedan,SR FWD,62185,18025,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=1N4BL4CV1NN401975,1N4BL4CV1NN401975.jpg,,
1C4RDHAG4PC583008,2023,Dodge,Durango,SUV,SXT Launch Edition RWD,67397,21650,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=1C4RDHAG4PC583008,1C4RDHAG4PC583008.jpg,,
3MVDMBBM0RM698216,2024,Mazda,CX-30,SUV,2.5 S Select Sport,37373,21089,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=3MVDMBBM0RM698216,3MVDMBBM0RM698216.jpg,,
1C4RDJDG2PC688486,2023,Dodge,Durango,SUV,GT Plus AWD,40447,29045,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=1C4RDJDG2PC688486,1C4RDJDG2PC688486.jpg,,
2T3W1RFV6RW325212,2024,Toyota,RAV4,SUV,XLE,47972,26393,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=2T3W1RFV6RW325212,2T3W1RFV6RW325212.jpg,,
WA1DECF3XR1051237,2024,Audi,Q3 SUV,SUV,Premium 45 TFSI® quattro® tiptronic®,40939,25781,Oakland CA,Audi Oakland,,,,Pulse Orange,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA1DECF3XR1051237,WA1DECF3XR1051237.jpg,,
WA1LXBF79RD004315,2024,Audi,Q7,SUV,Premium Plus 55 TFSI® quattro® tiptronic®,47451,39825,Oakland CA,Audi Oakland,,,,Mythos Black metallic,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA1LXBF79RD004315,WA1LXBF79RD004315.jpg,,
WA15AAFY1S2053684,2025,Audi,Q5 Sportback,SUV,Premium Plus 45 TFSI® quattro® S tronic®,8102,46825,Oakland CA,Audi Oakland,,,,Daytona Gray pearl effect,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA15AAFY1S2053684,WA15AAFY1S2053684.jpg,,
WA1LCBF79SD022122,2025,Audi,Q7,SUV,Premium Plus 45 TFSI® quattro® tiptronic®,7148,53900,Oakland CA,Audi Oakland,,,,Samurai Gray metallic,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA1LCBF79SD022122,WA1LCBF79SD022122.jpg,,
WAUFACF52SA005545,2025,Audi,A5 Sportback,sedan,Premium Plus 45 TFSI® quattro® S tronic®,6721,44750,Oakland CA,Audi Oakland,,,,Chronos Gray metallic,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WAUFACF52SA005545,WAUFACF52SA005545.jpg,,
WA1DECF34S1081064,2025,Audi,Q3 SUV,SUV,Premium 45 TFSI® quattro® tiptronic®,2389,36874,Oakland CA,Audi Oakland,,,,Chronos Gray metallic,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA1DECF34S1081064,WA1DECF34S1081064.jpg,,
JTDKN3DP4F3073334,2015,Toyota,Prius Plug-In,sedan,,155791,10480,Berkeley CA,Toyota of Berkeley,Gas/Electric I-4 1.8 L/110,CVT,FWD,Winter Gray Metallic,Gray,,,,,https://www.toyotaofberkeley.com/viewdetails/used/jtdkn3dp4f3073334/2015-toyota-prius-plug-in-hatchback?type=finance,JTDKN3DP4F3073334.jpg,,
3MZBN1L3XJM243087,2018,Mazda,MAZDA3 5-Door,sedan,,83495,14980,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.5 L/152,Automatic,FWD,Sonic Silver Metallic,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/3mzbn1l3xjm243087/2018-mazda-mazda3-5-door-hatchback?type=finance,3MZBN1L3XJM243087.jpg,,
5TDBY5G17ES094895,2014,Toyota,Sequoia,SUV,,156848,16880,Berkeley CA,Toyota of Berkeley,Regular Unleaded V-8 5.7 L/346,Automatic,4WD,Magnetic Gray Metallic,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/5tdby5g17es094895/2014-toyota-sequoia-sport-utility?type=finance,5TDBY5G17ES094895.jpg,,
5NPLS4AG2NH080809,2022,Hyundai,Elantra,sedan,,44154,16980,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.0 L/122,CVT,FWD,Portofino Gray,Medium Gray,,,,,https://www.toyotaofberkeley.com/viewdetails/used/5npls4ag2nh080809/2022-hyundai-elantra-4dr-car?type=finance,5NPLS4AG2NH080809.jpg,,
KMHL24JA2PA261197,2023,Hyundai,Sonata,sedan,,55180,18480,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.5 L/152,Automatic,FWD,Curated Silver,Dark Gray,,,,,https://www.toyotaofberkeley.com/viewdetails/used/kmhl24ja2pa261197/2023-hyundai-sonata-4dr-car?type=finance,KMHL24JA2PA261197.jpg,,
5NMS2DAJ2PH550408,2023,Hyundai,Santa Fe,SUV,,55819,18980,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.5 L/152,Automatic,AWD,Shimmering Silver,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/5nms2daj2ph550408/2023-hyundai-santa-fe-sport-utility?type=finance,5NMS2DAJ2PH550408.jpg,,
KNDEPCAA7P7371247,2023,Kia,Seltos,SUV,,32791,18980,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.0 L/122,CVT,AWD,Snow White Pearl,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/kndepcaa7p7371247/2023-kia-seltos-sport-utility?type=finance,KNDEPCAA7P7371247.jpg,,
3KPF24ADXPE652106,2023,Kia,Forte,sedan,,26405,19000,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.0 L/122,CVT,FWD,Steel Gray,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/3kpf24adxpe652106/2023-kia-forte-4dr-car?type=finance,3KPF24ADXPE652106.jpg,,
19UDE2F33KA008625,2019,Acura,ILX,sedan,,77040,19590,Berkeley CA,Toyota of Berkeley,Premium Unleaded I-4 2.4 L/144,Automatic,FWD,Platinum White Pearl,Ebony,,,,,https://www.toyotaofberkeley.com/viewdetails/used/19ude2f33ka008625/2019-acura-ilx-4dr-car?type=finance,19UDE2F33KA008625.jpg,,
3HGGK5H82LM719625,2020,Honda,Fit,sedan,,45051,19980,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 1.5 L/91,CVT,FWD,Aegean Blue Metallic,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/3hggk5h82lm719625/2020-honda-fit-hatchback?type=finance,3HGGK5H82LM719625.jpg,,
JTDKARFP5K3118481,2019,Toyota,Prius Prime,sedan,,92714,19980,Berkeley CA,Toyota of Berkeley,Gas/Electric I-4 1.8 L/110,CVT,FWD,Classic Silver Metallic,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/jtdkarfp5k3118481/2019-toyota-prius-prime-hatchback?type=finance,JTDKARFP5K3118481.jpg,,
1GNEVKKW4KJ250432,2019,Chevrolet,Traverse,sedan,,114870,19990,Berkeley CA,Toyota of Berkeley,Gas V6 3.6L/217,Automatic,AWD,Summit White,Jet Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/1gnevkkw4kj250432/2019-chevrolet-traverse-sport-utility?type=finance,1GNEVKKW4KJ250432.jpg,,
5YFB4MDE7RP150541,2024,Toyota,Corolla,sedan,,25252,20980,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.0 L/121,CVT,FWD,Celestite,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/5yfb4mde7rp150541/2024-toyota-corolla-4dr-car?type=finance,5YFB4MDE7RP150541.jpg,,
2HGFC3A58JH750967,2018,Honda,Civic Coupe,coupe,,57025,20990,Berkeley CA,Toyota of Berkeley,Intercooled Turbo Premium Unleaded I-4 1.5 L/91,Manual,FWD,Lunar Silver Metallic,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/2hgfc3a58jh750967/2018-honda-civic-coupe-2dr-car?type=finance,2HGFC3A58JH750967.jpg,,
5NMJECAE3PH201578,2023,Hyundai,Tucson,SUV,,65477,21480,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.5 L/152,Automatic,AWD,Intense Blue,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/5nmjecae3ph201578/2023-hyundai-tucson-sport-utility?type=finance,5NMJECAE3PH201578.jpg,,
3VVCB7AX0NM093894,2022,Volkswagen,Tiguan,SUV,,37718,21480,Berkeley CA,Toyota of Berkeley,Intercooled Turbo Regular Unleaded I-4 2.0 L/121,Automatic,FWD,Platinum Gray Metallic,Titan Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/3vvcb7ax0nm093894/2022-volkswagen-tiguan-sport-utility?type=finance,3VVCB7AX0NM093894.jpg,,
1FMCU9GN2PUA27285,2023,Ford,Escape,sedan,,25081,21880,Berkeley CA,Toyota of Berkeley,Intercooled Turbo Premium Unleaded I-3 1.5 L/91,Automatic,AWD,Star White Metallic Tri-Coat,N/A,,,,,https://www.toyotaofberkeley.com/viewdetails/used/1fmcu9gn2pua27285/2023-ford-escape-sport-utility?type=finance,1FMCU9GN2PUA27285.jpg,,
JM1NDAC71G0119372,2016,Mazda,MX-5 Miata,sedan,,16537,21980,Berkeley CA,Toyota of Berkeley,Premium Unleaded I-4 2.0 L/122,Automatic,RWD,Meteor Gray Mica,Black w/Red Stitching,,,,,https://www.toyotaofberkeley.com/viewdetails/used/jm1ndac71g0119372/2016-mazda-mx-5-miata-convertible?type=finance,JM1NDAC71G0119372.jpg,,
5YFB4MDE2SP346425,2025,Toyota,Corolla,sedan,,1444,22980,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.0 L/121,CVT,FWD,Classic Silver Metallic,Gray,,,,,https://www.toyotaofberkeley.com/viewdetails/used/5yfb4mde2sp346425/2025-toyota-corolla-4dr-car?type=finance,5YFB4MDE2SP346425.jpg,,
JTJYARBZ5J2093813,2018,Lexus,NX,SUV,,72942,23480,Berkeley CA,Toyota of Berkeley,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,FWD,Nebula Gray Pearl,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/jtjyarbz5j2093813/2018-lexus-nx-sport-utility?type=finance,JTJYARBZ5J2093813.jpg,,
4T1JZ1FB2NU083189,2022,Toyota,Avalon,sedan,,57632,24980,Berkeley CA,Toyota of Berkeley,Regular Unleaded V-6 3.5 L/211,Automatic,FWD,Ruby Flare Pearl,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/4t1jz1fb2nu083189/2022-toyota-avalon-4dr-car?type=finance,4T1JZ1FB2NU083189.jpg,,
1HGCV1F47NA091222,2022,Honda,Accord Sedan,sedan,,30945,24980,Berkeley CA,Toyota of Berkeley,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,CVT,FWD,Still Night Pearl,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/1hgcv1f47na091222/2022-honda-accord-sedan-4dr-car?type=finance,1HGCV1F47NA091222.jpg,,
2T3K1RFV6MW133764,2021,Toyota,RAV4,SUV,,19617,25980,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.5 L/152,Automatic,FWD,Ruby Flare Pearl,Nutmeg,,,,,https://www.toyotaofberkeley.com/viewdetails/used/2t3k1rfv6mw133764/2021-toyota-rav4-sport-utility?type=finance,2T3K1RFV6MW133764.jpg,,
4S4BTANC4M3101972,2021,Subaru,Outback,SUV,,23879,25980,Berkeley CA,Toyota of Berkeley,Regular Unleaded H-4 2.5 L/152,CVT,AWD,Brilliant Bronze Metallic,Warm Ivory,,,,,https://www.toyotaofberkeley.com/viewdetails/used/4s4btanc4m3101972/2021-subaru-outback-sport-utility?type=finance,4S4BTANC4M3101972.jpg,,
JTMB6RFV6ND061075,2022,Toyota,RAV4,SUV,,79660,26480,Berkeley CA,Toyota of Berkeley,Gas/Electric I-4 2.5 L/152,CVT,AWD,Silver Sky Metallic,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/jtmb6rfv6nd061075/2022-toyota-rav4-sport-utility?type=finance,JTMB6RFV6ND061075.jpg,,
JTDT4MCE1P3514416,2023,Toyota,Corolla,sedan,,11085,26790,Berkeley CA,Toyota of Berkeley,Regular Unleaded I-4 2.0 L/121,CVT,FWD,Ice Cap,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/cpo/jtdt4mce1p3514416/2023-toyota-corolla-4dr-car?type=cash,JTDT4MCE1P3514416.jpg,,
4T1DAACK4SU521831,2025,Toyota,Camry,sedan,,27311,27980,Berkeley CA,Toyota of Berkeley,Gas/Electric I-4 2.5 L/152,CVT,FWD,Underground,Gray,,,,,https://www.toyotaofberkeley.com/viewdetails/used/4t1daack4su521831/2025-toyota-camry-4dr-car?type=finance,4T1DAACK4SU521831.jpg,,
5FNYF7H55MB011383,2021,Honda,Passport,SUV,,28422,28000,Berkeley CA,Toyota of Berkeley,Regular Unleaded V-6 3.5 L/212,Automatic,FWD,Deep Scarlet Pearl,Gray,,,,,https://www.toyotaofberkeley.com/viewdetails/used/5fnyf7h55mb011383/2021-honda-passport-sport-utility?type=finance,5FNYF7H55MB011383.jpg,,
3TMCZ5AN3MM412068,2021,Toyota,Tacoma 4WD,truck,,86834,29980,Berkeley CA,Toyota of Berkeley,Regular Unleaded V-6 3.5 L/211,Automatic,4WD,Barcelona Red Metallic,Cement,,,,,https://www.toyotaofberkeley.com/viewdetails/used/3tmcz5an3mm412068/2021-toyota-tacoma-4wd-crew-cab-pickup?type=finance,3TMCZ5AN3MM412068.jpg,,
JTDBCMFE3T3114278,2026,Toyota,Corolla,sedan,,73,29980,Berkeley CA,Toyota of Berkeley,Gas/Electric I-4 1.8 L/110,CVT,FWD,Celestite,Macadamia/Mocha,,,,,https://www.toyotaofberkeley.com/viewdetails/used/jtdbcmfe3t3114278/2026-toyota-corolla-4dr-car?type=finance,JTDBCMFE3T3114278.jpg,,
7MMVABEY7PN119710,2023,Mazda,CX-50,SUV,,20384,31480,Berkeley CA,Toyota of Berkeley,Intercooled Turbo Regular Unleaded I-4 2.5 L/152,Automatic,AWD,Wind Chill Pearl,Black/Brown,,,,,https://www.toyotaofberkeley.com/viewdetails/used/7mmvabey7pn119710/2023-mazda-cx-50-sport-utility?type=finance,7MMVABEY7PN119710.jpg,,
JTMR6RFV6MD020443,2021,Toyota,RAV4,SUV,,28340,31980,Berkeley CA,Toyota of Berkeley,Gas/Electric I-4 2.5 L/152,CVT,AWD,Midnight Black Metallic,Black,,,,,https://www.toyotaofberkeley.com/viewdetails/used/jtmr6rfv6md020443/2021-toyota-rav4-sport-utility?type=finance,JTMR6RFV6MD020443.jpg,,
JHMGE8H31DC032505,2013,Honda,Fit,sedan,Base,98919,9700,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Honda/2013-Honda-Fit-9ece3a0bac183899bac477c782140a96.htm,JHMGE8H31DC032505.webp,,
WMWXP7C50K2A53704,2019,MINI,Cooper,sedan,S Signature,88210,12000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/MINI/2019-MINI-Cooper-S-1d32aef4ac182624a36828a76b904b33.htm,WMWXP7C50K2A53704.webp,,
JM3KE4DY4G0662022,2016,Mazda,CX-5,SUV,Grand Touring,103492,13500,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Mazda/2016-Mazda-CX-5-3ed60b64ac181fe9da1360e6aaa625ae.htm,JM3KE4DY4G0662022.webp,,
JF2SJAXC7GH494186,2016,Subaru,Forester,SUV,2.5i Touring,68368,16250,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Subaru/2016-Subaru-Forester-f655ffaeac1839ffd61117da49736271.htm,JF2SJAXC7GH494186.webp,,
JM1DKFB76K1445557,2019,Mazda,CX-3,sedan,Sport,56022,16750,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Mazda/2019-Mazda-CX-3-0ae611d3ac1823afbf61a79473da70aa.htm,JM1DKFB76K1445557.webp,,
KNDETCA22M7150414,2021,Kia,Seltos,SUV,SX,23225,17900,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Kia/2021-Kia-Seltos-0dc564d1ac1812707be87b5971354343.htm,KNDETCA22M7150414.webp,,
3VVAX7B27NM098540,2022,Volkswagen,Taos,SUV,1.5T S,28151,18500,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Volkswagen/2022-Volkswagen-Taos-65560312ac1840dfbb8815d9e8173afe.htm,3VVAX7B27NM098540.webp,,
W1K3G4FB9MJ300893,2021,Mercedes-Benz,A-Class,sedan,A 220,50435,19600,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Mercedes-Benz/2021-Mercedes-Benz-A-Class-2d8ca093ac180ccb907a2ab0d7584c69.htm,W1K3G4FB9MJ300893.webp,,
3VW7M7BU3PM038256,2023,Volkswagen,Jetta,sedan,1.5T SE,22416,19600,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Volkswagen/2023-Volkswagen-Jetta-05c475f6ac181f3f5066b3cb18b82f38.htm,3VW7M7BU3PM038256.webp,,
3VVLX7B29NM098287,2022,Volkswagen,Taos,SUV,1.5T SE,36202,19700,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Volkswagen/2022-Volkswagen-Taos-9df71971ac1840b03fb0b7a3be424a50.htm,3VVLX7B29NM098287.webp,,
KL79MPS22NB092076,2022,Chevrolet,Trailblazer,SUV,LT,11966,20000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Chevrolet/2022-Chevrolet-Trailblazer-343a4363ac18066909f1a4a86ddf17d6.htm,KL79MPS22NB092076.webp,,
3VVSX7B24PM333340,2023,Volkswagen,Taos,SUV,1.5T SE,22885,20450,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Volkswagen/2023-Volkswagen-Taos-343a376aac18401dc0a30028fe21e5fe.htm,3VVSX7B24PM333340.webp,,
3VVRB7AXXPM115722,2023,Volkswagen,Tiguan,SUV,2.0T S,11573,20450,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Volkswagen/2023-Volkswagen-Tiguan-1536de12ac1823afbf61a7949962849b.htm,3VVRB7AXXPM115722.webp,,
3MVDMBAM7PM533830,2023,Mazda,CX-30,SUV,2.5 S,7033,21000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Mazda/2023-Mazda-CX-30-c0f46674ac182bc19058e5d1fe91d373.htm,3MVDMBAM7PM533830.webp,,
JF1VA1C67J9816375,2018,Subaru,WRX,sedan,Premium,37499,21000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Subaru/2018-Subaru-WRX-7fe6ce99ac180a328479f835ed9e5450.htm,JF1VA1C67J9816375.webp,,
3VV8X7B21RM064582,2024,Volkswagen,Taos,SUV,1.5T S,5087,21500,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Volkswagen/2024-Volkswagen-Taos-cffa7655ac1819acc11d1fff171659a9.htm,3VV8X7B21RM064582.webp,,
3VVNX7B20PM310974,2023,Volkswagen,Taos,SUV,1.5T SE,7661,21500,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Volkswagen/2023-Volkswagen-Taos-5885a4daac180f5ea5fd03ac7820952a.htm,3VVNX7B20PM310974.webp,,
